                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    140,                0.52282,                0.36858,                0.89994,                0.96814,                0.99537,                0.99111,                0.88377,                0.46533,                0.28277,                 0.8603,              0.0012324,              0.0012324,              0.0012324
                    141,                0.53692,                0.38066,                0.90396,                0.96877,                 0.9946,                0.99164,                0.89288,                0.47283,                0.28446,                 0.8697,              0.0012309,              0.0012309,              0.0012309
                    142,                0.51906,                0.36606,                0.89346,                0.96249,                0.98828,                 0.9827,                0.86753,                0.50341,                0.30231,                0.88631,              0.0012295,              0.0012295,              0.0012295
                    143,                0.50021,                 0.3627,                0.89037,                 0.9739,                0.99537,                0.99129,                0.86909,                0.53879,                0.30457,                0.90986,              0.0012281,              0.0012281,              0.0012281
                    144,                0.50151,                0.35897,                0.88396,                0.96626,                0.99537,                 0.9945,                0.87164,                0.52135,                0.29582,                0.89946,              0.0012267,              0.0012267,              0.0012267
                    145,                0.51544,                0.37191,                 0.9069,                0.97131,                0.98828,                0.98982,                 0.8856,                0.49913,                 0.2859,                0.89064,              0.0012253,              0.0012253,              0.0012253
                    146,                0.52462,                0.37337,                0.89452,                 0.9702,                0.98365,                0.98898,                0.86789,                0.57836,                0.31316,                0.92196,              0.0012239,              0.0012239,              0.0012239
                    147,                0.52001,                 0.3714,                0.89176,                0.97822,                0.99537,                0.99431,                0.87657,                0.50479,                0.29969,                0.88436,              0.0012225,              0.0012225,              0.0012225
                    148,                0.51723,                0.37012,                0.88809,                0.97442,                0.97685,                0.98963,                0.87153,                0.50136,                0.31868,                0.87295,               0.001221,               0.001221,               0.001221
                    149,                0.52179,                0.37763,                0.89863,                0.95338,                0.99094,                0.99177,                0.88659,                0.48298,                0.32653,                0.86479,              0.0012196,              0.0012196,              0.0012196
                    150,                0.52244,                0.36609,                0.89462,                0.96884,                0.99299,                0.99257,                0.88601,                 0.5165,                0.30176,                0.88113,              0.0012182,              0.0012182,              0.0012182
                    151,                0.52308,                0.37308,                0.89497,                 0.9605,                0.98636,                0.98981,                0.88405,                0.50027,                0.30265,                0.85372,              0.0012168,              0.0012168,              0.0012168
                    152,                0.50087,                0.36434,                0.88245,                0.98073,                0.98532,                0.99129,                0.86688,                 0.5383,                0.30698,                0.91705,              0.0012154,              0.0012154,              0.0012154
